nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001616	Mekhi Phifer	1974	\N	actor,producer,soundtrack	tt0322589,tt0363547,tt0298203,tt0108757
nm0001617	Lou Diamond Phillips	1962	\N	actor,director,soundtrack	tt0096487,tt0093378,tt0120609,tt0115956
nm0001618	Joaquin Phoenix	1974	\N	actor,producer,soundtrack	tt0172495,tt0358273,tt1798709,tt1560747
nm0001619	Summer Phoenix	1978	\N	actress,soundtrack	tt0133189,tt0247199,tt0183056,tt0133751
nm0001620	Slim Pickens	1919	1983	actor,soundtrack,stunts	tt0057012,tt0068638,tt0071230,tt0078723
nm0001621	Bronson Pinchot	1959	\N	actor,soundtrack	tt0086960,tt0086200,tt0108399,tt0109254
nm0001622	Danny Pintauro	1976	\N	actor	tt0085382,tt0086827,tt0048845,tt1791827
nm0001623	Maria Pitillo	1966	\N	actress	tt0110632,tt0108399,tt0103939,tt0120685
nm0001624	Oliver Platt	1960	\N	actor,producer	tt0182789,tt1190080,tt0139414,tt0108333
nm0001625	Amanda Plummer	1957	\N	actress,writer	tt0101889,tt2190165,tt0110912,tt7423538
nm0001626	Christopher Plummer	1929	2021	actor,soundtrack,producer	tt1532503,tt5294550,tt3704050,tt0140352
nm0001627	Sidney Poitier	1927	\N	actor,director,soundtrack	tt0057251,tt0051525,tt0061811,tt0061735
nm0001628	Sydney Pollack	1934	2008	director,producer,actor	tt0089755,tt0084805,tt0120663,tt0465538
nm0001629	Kevin Pollak	1957	\N	actor,producer,writer	tt0146675,tt0104257,tt0327247,tt0114814
nm0001630	Tracy Pollan	1960	\N	actress,producer	tt0252133,tt0203259,tt0094799,tt0105483
nm0001631	Sarah Polley	1979	\N	actress,director,writer	tt0314412,tt1017460,tt0363547,tt0139239
nm0001632	Teri Polo	1969	\N	actress	tt0970866,tt0115571,tt0212338,tt0290002
nm0001633	Annie Potts	1952	\N	actress,producer,soundtrack	tt0087332,tt1979376,tt0091790,tt0090418
nm0001634	CCH Pounder	1952	\N	actress	tt0107978,tt0286486,tt0499549,tt1538403
nm0001635	William Powell	1892	1984	actor,soundtrack	tt0039853,tt0028010,tt0025878,tt0039566
nm0001636	Priscilla Presley	1945	\N	actress,producer,writer	tt0102510,tt0095705,tt0098987,tt0110622
nm0001637	Vincent Price	1911	1993	actor,soundtrack,writer	tt0049833,tt0037008,tt0091149,tt0066740
nm0001638	Jürgen Prochnow	1941	\N	actor,producer,soundtrack	tt0113492,tt0116209,tt0082096,tt0087182
nm0001639	Alex Proyas	1963	\N	director,writer,producer	tt2404233,tt0118929,tt11892182,tt0109506
nm0001640	Richard Pryor	1940	2005	actor,writer,producer	tt0075223,tt0098282,tt0086393,tt0082121
nm0001641	Vincent Perez	1964	\N	actor,director,writer	tt0238546,tt0099334,tt0118756,tt0115986
nm0001642	Randy Quaid	1950	\N	actor,soundtrack,producer	tt0116629,tt0099371,tt0388795,tt0180052
nm0001643	Linnea Quigley	1958	\N	actress,producer,soundtrack	tt0093624,tt0089907,tt0088117,tt0082467
nm0001644	Aidan Quinn	1959	\N	actor,producer,director	tt0817177,tt0110322,tt0106387,tt0120791
nm0001645	Serge Ladouceur	1952	\N	cinematographer,producer,camera_department	tt0119788,tt0460681,tt0310851,tt0245625
nm0001646	Ted Raimi	1965	\N	actor,writer,director	tt9018490,tt0098936,tt4189022,tt8762206
nm0001647	Claude Rains	1889	1967	actor,soundtrack	tt0031679,tt0024184,tt0038787,tt0034583
nm0001648	Charlotte Rampling	1946	\N	actress,soundtrack,camera_department	tt1527186,tt0324133,tt3544082,tt2094766
nm0001649	Anne Ramsey	1929	1988	actress	tt0090917,tt0096061,tt0094142,tt0089218
nm0001650	Michael Rapaport	1970	\N	actor,director,producer	tt0115639,tt0108399,tt0149261,tt0216216
nm0001651	Basil Rathbone	1892	1967	actor,soundtrack,miscellaneous	tt0029843,tt0035318,tt0036348,tt0037248
nm0001652	John Ratzenberger	1947	\N	actor,director,soundtrack	tt0083399,tt0114709,tt0317705,tt0910970
nm0001653	Stephen Rea	1946	\N	actor,writer,soundtrack	tt1496025,tt0104036,tt0434409,tt0110148
nm0001654	Ronald Reagan	1911	2004	actor,production_manager,miscellaneous	tt0041445,tt0030731,tt0036430,tt0034946
nm0001655	Lynn Redgrave	1943	2010	actress,soundtrack	tt0362269,tt0120684,tt0117631,tt0060453
nm0001656	Donna Reed	1921	1986	actress,soundtrack	tt0038650,tt0045793,tt0051267,tt0047581
nm0001657	Oliver Reed	1938	1999	actor,soundtrack	tt0080658,tt0078908,tt0063385,tt0172495
nm0001658	Robert Reed	1932	1992	actor,soundtrack,director	tt0075572,tt0063878,tt0075485,tt0074048
nm0001659	Christopher Reeve	1952	2004	actor,producer,miscellaneous	tt0094074,tt0081573,tt0081534,tt0078346
nm0001660	George Reeves	1914	1959	actor,director,soundtrack	tt0044091,tt0041096,tt0044231,tt0031381
nm0001661	Rob Reiner	1947	\N	actor,writer,producer	tt0993846,tt0160916,tt0066626,tt0088258
nm0001662	Judge Reinhold	1957	\N	actor,soundtrack,producer	tt0092644,tt0086960,tt0111070,tt0083929
nm0001663	Paul Reiser	1956	\N	actor,writer,producer	tt0086960,tt2582802,tt0103484,tt0090605
nm0001664	James Remar	1953	\N	actor,soundtrack	tt0420896
nm0001665	Lee Remick	1935	1991	actress,soundtrack	tt0055895,tt0075005,tt0052561,tt0057681
nm0001666	Debbie Reynolds	1932	2016	actress,soundtrack,writer	tt0051051,tt0045152,tt0058708,tt0119360
nm0001667	Jonathan Rhys Meyers	1977	\N	actor,producer,soundtrack	tt3300980,tt2306299,tt0437714,tt0758790
nm0001668	Kim Richards	1964	\N	actress,producer	tt0074156,tt0462200,tt1075417,tt0072951
nm0001669	Miranda Richardson	1958	\N	actress,soundtrack	tt0278731,tt0274558,tt0162661,tt0104036
nm0001670	Natasha Richardson	1963	2009	actress,soundtrack,producer	tt0348505,tt1024255,tt0252076,tt0120783
nm0001671	Diana Rigg	1938	2020	actress,soundtrack,costume_department	tt0054518,tt0446755,tt0064757,tt0944947
nm0001672	Joan Rivers	1933	2014	writer,actress,producer	tt0078133,tt1300854,tt0094012,tt0111127
nm0001673	Jason Robards	1922	2000	actor,soundtrack	tt0074119,tt0098067,tt0064116,tt0175880
nm0001674	Chris Rock	1965	\N	producer,actor,writer	tt2784678,tt0398165,tt0351283,tt0325537
nm0001675	Robert Rodriguez	1968	\N	producer,writer,director	tt0104815,tt0458481,tt0287717,tt1077258
nm0001676	Nicolas Roeg	1928	2018	camera_department,director,cinematographer	tt0069995,tt0067959,tt0080408,tt0100944
nm0001677	Ginger Rogers	1911	1995	actress,soundtrack	tt0035019,tt0032671,tt0031983,tt0044916
nm0001678	Roy Rogers	1911	1998	actor,soundtrack,producer	tt0037535,tt0043225,tt0035364,tt1409024
nm0001679	Mark Rolston	1956	\N	actor,sound_department,writer	tt0111161,tt0120812,tt0090605,tt0407887
nm0001680	Robert Romanus	1956	\N	actor,soundtrack	tt0156146,tt0083412,tt0083929,tt1017451
nm0001681	George A. Romero	1940	2017	producer,writer,director	tt0848557,tt0418819,tt0095652,tt0063350
nm0001682	Mickey Rooney	1920	2014	actor,soundtrack,producer	tt0057193,tt0031066,tt0054698,tt0477347
nm0001683	Roseanne Barr	1952	\N	producer,actress,writer	tt0098309,tt0094540,tt0101917,tt0100050
nm0001684	Katharine Ross	1940	\N	actress,writer,soundtrack	tt0246578,tt0061722,tt0064115,tt0073747
nm0001685	Rick Rossovich	1957	\N	actor,camera_department	tt0092099,tt0100232,tt0093886,tt0088247
nm0001686	Cynthia Rothrock	1957	\N	actress,producer,stunts	tt9626986,tt0099260,tt8840400,tt3393762
nm0001687	Gena Rowlands	1930	\N	actress,writer,soundtrack	tt0072417,tt0397101,tt0332280,tt0119313
nm0001688	Alan Ruck	1956	\N	actor,soundtrack	tt0111257,tt0117998,tt0111280,tt0091042
nm0001689	Mercedes Ruehl	1948	\N	actress,soundtrack	tt0093936,tt0095593,tt0094737,tt0101889
nm0001690	Jennifer Runyon	1960	\N	actress,producer,soundtrack	tt0096376,tt0087332,tt0096684,tt0088333
nm0001691	Geoffrey Rush	1951	\N	actor,soundtrack,producer	tt0180073,tt1504320,tt0117631,tt0138097
nm0001692	Ken Russell	1927	2011	director,writer,actor	tt0073812,tt0080360,tt0066858,tt0066993
nm0001693	Eva Marie Saint	1924	\N	actress,producer,soundtrack	tt0053125,tt0047296,tt1837709,tt0348150
nm0001694	Meredith Salenger	1970	\N	actress,soundtrack,miscellaneous	tt0095736,tt0089385,tt0097236,tt0139414
nm0001695	George Sanders	1906	1972	actor,soundtrack,writer	tt0042192,tt0033873,tt0032976,tt0037988
nm0001696	Julian Sands	1958	\N	actor,assistant_director,soundtrack	tt0098622,tt0288045,tt0091867,tt0102511
nm0001697	Chris Sarandon	1942	\N	actor,soundtrack,producer	tt0107688
nm0001698	John Savage	1949	\N	actor,producer,soundtrack	tt0077416,tt0120863,tt0783640,tt0079261
nm0001699	Telly Savalas	1922	1994	actor,soundtrack,director	tt0065938,tt0064757,tt0077294,tt0069599
nm0001700	Nancy Savoca	1959	\N	director,writer,producer	tt0098528,tt0359161,tt0107152,tt0138279
nm0001701	Devon Sawa	1978	\N	actor,writer,director	tt0195714,tt0112642,tt0114011,tt0138510
nm0001702	Roy Scheider	1932	2008	actor,soundtrack,producer	tt0078754,tt0085255,tt0067116,tt0073195
nm0001703	Maximilian Schell	1930	2014	actor,director,writer	tt0120647,tt0055031,tt0120877,tt0075784
nm0001704	Vincent Schiavelli	1948	2005	actor	tt0120347,tt0099653,tt0266452,tt0083929
nm0001705	Rob Schneider	1963	\N	actor,writer,producer	tt0302640,tt0205000,tt0255798,tt0367652
nm0001706	Michael Schoeffling	1960	\N	actor	tt0100049,tt0100140,tt0088128,tt0103262
nm0001707	Paul Schrader	1946	\N	writer,director,soundtrack	tt0118564,tt0075314,tt6053438,tt0081398
nm0001708	Joel Schumacher	1939	2020	director,writer,producer	tt0134273,tt0183649,tt0118688,tt0293508
nm0001709	Til Schweiger	1963	\N	actor,producer,director	tt0361748,tt1700258,tt0119472,tt0960790
nm0001710	David Schwimmer	1966	\N	actor,director,soundtrack	tt0488085,tt0120828,tt0108778,tt0185906
nm0001711	Annabella Sciorra	1960	\N	actress,producer	tt0104389,tt0102175
nm0001712	Tracy Scoggins	1953	\N	actress,writer,producer	tt0871427,tt0149437,tt0106057,tt0106145
nm0001713	Izabella Scorupco	1970	\N	actress	tt0253556,tt0190865,tt0113189,tt0204313
nm0001714	Campbell Scott	1961	\N	actor,producer,director	tt0115678,tt0299117,tt0105415,tt1872181
nm0001715	George C. Scott	1927	1999	actor,director,producer	tt0066206,tt0057012,tt0080516,tt0054997
nm0001716	Tony Scott	1944	2012	producer,director,actor	tt0421054,tt0477080,tt0108399,tt0116277
nm0001717	Kyle Secor	1957	\N	actor,director	tt0102945,tt0109676,tt0101587,tt0106028
nm0001718	Kyra Sedgwick	1965	\N	actress,producer,soundtrack	tt0361127,tt0458253,tt0117333,tt0114496
nm0001719	George Segal	1934	2021	actor,soundtrack,producer	tt1190080,tt0070819,tt0097778,tt0061184
nm0001720	Ivan Sergei	1971	\N	actor,director,writer	tt7335154,tt0120777,tt0207889,tt0284718
nm0001721	Chloë Sevigny	1974	\N	actress,director,soundtrack	tt0421030,tt8695030,tt9848536,tt0171804
nm0001722	Rufus Sewell	1967	\N	actor,soundtrack	tt0443543,tt7549996,tt0183790,tt0118929
nm0001723	Tom Shadyac	1958	\N	producer,director,actor	tt1741225,tt0259288,tt0109040,tt0117218
nm0001724	Tony Shalhoub	1953	\N	actor,producer,soundtrack	tt0177789,tt0312172,tt1291150,tt0243133
nm0001725	Omar Sharif	1932	2015	actor,soundtrack,writer	tt0056172,tt0059113,tt0088286,tt0329388
nm0001726	Helen Shaver	1951	\N	actress,director,producer	tt0089015,tt0115963,tt0078767,tt0115317
nm0001727	Robert Shaw	1927	1978	actor,writer,soundtrack	tt0073195,tt0070735,tt0060665,tt0057076
nm0001728	Wallace Shawn	1943	\N	actor,writer,producer	tt0317705,tt0093779,tt0082783,tt0338094
nm0001729	Craig Sheffer	1960	\N	actor,producer,director	tt0107889,tt0094006,tt0100260,tt0105265
nm0001730	Deborah Shelton	1948	\N	actress,writer,music_department	tt0107668,tt0108143,tt0086984,tt0111191
nm0001731	Sam Shepard	1943	2017	actor,writer,soundtrack	tt1935179,tt0265086,tt1322269,tt0086197
nm0001732	Cybill Shepherd	1950	\N	actress,producer,soundtrack	tt0075314,tt0067328,tt0111932,tt0088571
nm0001733	Nicollette Sheridan	1963	\N	actress,producer,soundtrack	tt0462229,tt0117723,tt0410975,tt0078638
nm0001734	Armin Shimerman	1949	\N	actor,writer,soundtrack	tt1094581,tt1430111,tt0091209,tt0106145
nm0001735	Talia Shire	1946	\N	actress,producer,director	tt0089927,tt0071562,tt0075148,tt0068646
nm0001736	Pauly Shore	1968	\N	actor,writer,producer	tt0104187,tt0108186,tt0284674,tt0115683
nm0001737	Martin Short	1950	\N	actor,writer,producer	tt0452681,tt1791528,tt0092086,tt0093260
nm0001738	Jonathan Silverman	1966	\N	actor,miscellaneous,producer	tt0098627,tt1870372,tt0106188,tt0090774
nm0001739	Jean Simmons	1929	2010	actress,soundtrack	tt0040416,tt0054331,tt0048140,tt0347149
nm0001740	O.J. Simpson	1947	\N	actor,producer	tt0072308,tt0095705,tt0102510,tt0110622
nm0001741	Bryan Singer	1965	\N	producer,director,actor	tt0120903,tt0114814,tt0348150,tt1877832
nm0001742	Lori Singer	1957	\N	actress,soundtrack,producer	tt0089543,tt0108122,tt0098622,tt0087277
nm0001743	Marc Singer	1948	\N	actor,soundtrack,director	tt0086822,tt0101412,tt0085106,tt0083630
nm0001744	Tom Sizemore	1961	\N	actor,producer,writer	tt0120815,tt0265086,tt0120004,tt0114558
nm0001745	Stellan Skarsgård	1951	\N	actor,producer,soundtrack	tt0795421,tt0118607,tt0119217,tt1937390
nm0001746	Ione Skye	1970	\N	actress,writer,soundtrack	tt0098258,tt0332047,tt0105793,tt0113101
nm0001747	Charles Martin Smith	1953	\N	actor,director,writer	tt0086005,tt1564349,tt0069704,tt0094226
nm0001748	Kurtwood Smith	1943	\N	actor,soundtrack	tt0115759,tt0102975,tt0093870,tt0165598
nm0001749	Maggie Smith	1934	\N	actress,soundtrack	tt1412386,tt0091867,tt3722070,tt0280707
nm0001750	Madolyn Smith Osborne	1957	\N	actress	tt0086837,tt0081696,tt0086873,tt0095188
nm0001751	Jimmy Smits	1955	\N	actor,producer	tt3748528,tt0106079,tt0200276,tt0121766
nm0001752	Steven Soderbergh	1963	\N	producer,director,cinematographer	tt1291580,tt0181865,tt0195685,tt0098724
nm0001753	P.J. Soles	1950	\N	actress,producer,camera_department	tt0077651,tt0074285,tt0395584,tt0083131
nm0001754	Todd Solondz	1959	\N	director,writer,actor	tt0114906,tt4144190,tt0147612,tt0808526
nm0001755	Suzanne Somers	1946	\N	actress,composer,producer	tt0092449,tt0111127,tt0069704,tt0075596
nm0001756	Barry Sonnenfeld	1953	\N	producer,director,cinematographer	tt0106220,tt0119654,tt1409024,tt0120891
nm0001757	Kevin Sorbo	1958	\N	actor,producer,director	tt1714827,tt5804314
nm0001758	Timothy Spall	1957	\N	actor,soundtrack,writer	tt2473794,tt0117589,tt0408236,tt0259711
nm0001759	Vincent Spano	1962	\N	actor,director,producer	tt0088960,tt0086216,tt0106246,tt0085208
nm0001760	Tori Spelling	1973	\N	actress,producer,music_department	tt0257106,tt0162710,tt0119324,tt0098749
nm0001761	Jerry Springer	1944	\N	producer,writer,actor	tt0421054,tt0165494,tt0145660,tt0402127
nm0001762	Jill St. John	1940	\N	actress,soundtrack	tt0060801,tt0059390,tt0057683,tt0066995
nm0001763	Nick Stahl	1979	\N	actor,producer,assistant_director	tt0107501,tt0401792,tt0181852,tt0247425
nm0001764	John Stamos	1963	\N	actor,producer,soundtrack	tt3986586,tt4465368,tt0086701,tt0092359
nm0001765	Harry Dean Stanton	1926	2017	actor,soundtrack	tt0087995,tt0120689,tt0078748,tt5859238
nm0001766	Barbara Stanwyck	1907	1990	actress,soundtrack	tt0032080,tt0058791,tt0036775,tt0033373
nm0001767	Imelda Staunton	1956	\N	actress,soundtrack	tt0138097,tt3169706,tt0383694,tt0373889
nm0001768	Rod Steiger	1925	2002	actor,soundtrack	tt0059575,tt0061811,tt0047296,tt0067140
nm0001769	Howard Stern	1954	\N	actor,producer,writer	tt2248835,tt0119951,tt0474499,tt0103466
nm0001770	Fisher Stevens	1963	\N	actor,producer,director	tt0108255,tt0091949,tt0211933,tt0113243
nm0001771	Stella Stevens	1938	\N	actress,soundtrack,director	tt0057372,tt0060980,tt0069113,tt0053245
nm0001772	Patrick Stewart	1940	\N	actor,producer,director	tt0120903,tt0120844,tt0117731,tt3315342
nm0001773	David Ogden Stiers	1942	2018	actor,soundtrack,director	tt0068098,tt0101414,tt0114148,tt0275847
nm0001774	Ben Stiller	1965	\N	producer,actor,director	tt0942385,tt1608290,tt0359950,tt0196229
nm0001775	Whit Stillman	1952	\N	director,writer,producer	tt0120728,tt3068194,tt0109219,tt0100142
nm0001776	Sting	1951	\N	soundtrack,composer,actor	tt0159365,tt0120735,tt0120917,tt0087182
nm0001777	Dean Stockwell	1936	\N	actor,soundtrack,director	tt0095593,tt0096684,tt0087182,tt0087884
nm0001778	Matt Stone	1971	\N	music_department,writer,producer	tt2133326,tt0372588,tt0158983,tt0121955
nm0001779	Tom Stoppard	1937	\N	writer,actor,producer	tt0100519,tt0138097,tt0088846,tt1781769
nm0001780	Peter Stormare	1953	\N	actor,writer,producer	tt0116282,tt0360486,tt0120591,tt0355295
nm0001781	Julie Strain	1962	2021	actress,producer,director	tt0116039,tt0119273,tt0109254,tt0110622
nm0001782	Susan Strasberg	1938	1999	actress	tt0100558,tt0055505,tt0048491,tt0052961
nm0001783	Sally Struthers	1947	\N	actress,soundtrack,music_department	tt0238784,tt0065724,tt0068638,tt0066626
nm0001784	Gloria Stuart	1910	2010	actress,soundtrack	tt0023293,tt0024184,tt0032028,tt0120338
nm0001785	Kristy Swanson	1969	\N	actress,producer,soundtrack	tt0093036,tt0103893,tt0091042,tt0242423
nm0001786	George Takei	1937	\N	actor,soundtrack,writer	tt0060028,tt0084726,tt0092007,tt0102975
nm0001787	Jeffrey Tambor	1944	\N	actor,soundtrack	tt0367279,tt0170016,tt4686844,tt3502262
nm0001788	Jessica Tandy	1909	1994	actress,soundtrack	tt0101921,tt0097239,tt0092494,tt0056869
nm0001789	Andrei Tarkovsky	1932	1986	writer,director,actor	tt0060107,tt0079944,tt0091670,tt0069293
nm0001790	Sharon Tate	1943	1969	actress,soundtrack	tt0061655,tt0065225,tt0061634,tt0062430
nm0001791	Robert Taylor	1911	1969	actor,soundtrack	tt0028683,tt0043949,tt0029395,tt0035664
nm0001792	Rod Taylor	1930	2015	actor,music_department,soundtrack	tt0055254,tt0056869,tt0361748,tt0054387
nm0001793	Heather Thomas	1957	\N	actress	tt0084945,tt0092812,tt1555440,tt0081859
nm0001794	Henry Thomas	1971	\N	actor,producer,composer	tt0331811,tt0083866,tt0120241,tt0110322
nm0001795	Jonathan Taylor Thomas	1981	\N	actor,director,soundtrack	tt0110357,tt0115472,tt0101120,tt0112302
nm0001796	Richard Thomas	1951	\N	actor,director,producer	tt0068149,tt0080421,tt0185014,tt0099864
nm0001797	Rachel Ticotin	1958	\N	actress,miscellaneous	tt0100802,tt0406759,tt0118880,tt0106856
nm0001798	Kevin Tighe	1944	\N	actor,director,stunts	tt0097637,tt0099044,tt0068067,tt1179891
nm0001799	John Toll	1952	\N	cinematographer,camera_department,producer	tt1371111,tt0325710,tt0120863,tt0112573
nm0001800	Rip Torn	1931	2019	actor,soundtrack,director	tt0364725,tt0103466,tt0119654,tt0240515
nm0001801	Robert Towne	1934	\N	writer,producer,actor	tt0071315,tt0117060,tt0096244,tt0073692
nm0001802	Nancy Travis	1961	\N	actress,producer,soundtrack	tt0108473,tt0109936,tt0108174,tt0098966
nm0001803	Danny Trejo	1944	\N	actor,producer,soundtrack	tt2002718,tt0116367,tt0985694,tt0113277
nm0001804	Stanley Tucci	1960	\N	actor,producer,writer	tt0380510,tt0115678,tt1135503,tt1895587
nm0001805	Lana Turner	1921	1995	actress,soundtrack,producer	tt0044391,tt0038854,tt0050839,tt0052918
nm0001806	John Turturro	1957	\N	actor,writer,director	tt0101410,tt0190590,tt2258345,tt0110932
nm0001807	Cicely Tyson	1924	2021	actress,soundtrack,producer	tt0101921,tt1454029,tt0422093,tt3205802
nm0001808	Tracey Ullman	1959	\N	actress,writer,producer	tt0196216,tt0109348,tt2180411,tt0092469
nm0001809	Jay Underwood	1968	\N	actor	tt0185155,tt0098554,tt0090768,tt0093649
